Amenity,Count
Internet,15873
Air Conditioning,11310
Wireless Internet,20269
Cable TV,4989
Kitchen,23304
Smoking Allowed,2078
Buzzer/Wireless Intercom,8916
Wheelchair Accessible,3053
Pool,4255
Free Parking on Premises,11367
Indoor Fireplace,1857
First Aid Kit,6512
Pets Allowed,1965
Breakfast,2793
Family/Kid Friendly,11631
Elevator in Building,6380
Heating,16673
Fire Extinguisher,5693
Washer,20976
Pets live on this property,2906
Hot Tub,2397
24-Hour Check-in,2936
Essentials,19158
Smoke Detector,19366
Carbon Monoxide Detector,1837
Dryer,13766
Suitable for Events,885
Gym,2969
Hangers,5644
Dog(s),1400
Cat(s),1203
Shampoo,11749
Safety Card,2235
Iron,5854
Other pet(s),260
Lock on Bedroom Door,663
Hair Dryer,4688
Laptop Friendly Workspace,4781
Washer / Dryer,7
Doorman,596